instrument_name,instrument_id,date
BANKINDIA,362,01-01-2018
BALRAMCHIN,367,02-01-2018
TVSMOTOR,25,02-01-2018
TATACHEM,49,03-01-2018
TITAN,33,03-01-2018
BANKINDIA,362,04-01-2018
BHARATFORG,354,05-01-2018
PNB,110,05-01-2018
JINDALSTEL,209,08-01-2018
NBCC,140,08-01-2018
SUNPHARMA,57,08-01-2018
NMDC,130,09-01-2018
NMDC,130,11-01-2018
IRB,220,15-01-2018
MCX,163,17-01-2018
IOC,222,23-01-2018
UBL,23,24-01-2018
DRREDDY,305,29-01-2018
BEL,357,31-01-2018
MCX,163,31-01-2018
FORTIS,291,01-02-2018
JSWSTEEL,201,01-02-2018
LT,177,01-02-2018
ADANIENT,403,05-02-2018
CENTURYTEX,334,05-02-2018
JUSTDIAL,197,06-02-2018
NBCC,140,07-02-2018
CIPLA,329,08-02-2018
TORNTPOWER,29,08-02-2018
GLENMARK,282,09-02-2018
SUNTV,55,09-02-2018
SBIN,80,12-02-2018
TATASTEEL,41,12-02-2018
BANKINDIA,362,14-02-2018
FORTIS,291,14-02-2018
ADANIPORTS,401,15-02-2018
PNB,110,15-02-2018
APOLLOHOSP,390,16-02-2018
PNB,110,16-02-2018
BANKINDIA,362,19-02-2018
FORTIS,291,19-02-2018
ICICIBANK,243,19-02-2018
FORTIS,291,20-02-2018
INFY,224,20-02-2018
BANKINDIA,362,21-02-2018
BIOCON,351,21-02-2018
JUSTDIAL,197,22-02-2018
VGUARD,15,23-02-2018
DRREDDY,305,26-02-2018
CHENNPETRO,331,27-02-2018
CANBK,343,28-02-2018
SRTRANSFIN,64,28-02-2018
CANBK,343,01-03-2018
AUROPHARMA,379,05-03-2018
JSWSTEEL,201,05-03-2018
BEML,356,06-03-2018
JSWSTEEL,201,06-03-2018
FORTIS,291,08-03-2018
ASHOKLEY,386,09-03-2018
FORTIS,291,09-03-2018
ITC,216,12-03-2018
OIL,125,12-03-2018
CANBK,343,13-03-2018
TCS,38,13-03-2018
FORTIS,291,14-03-2018
IOC,222,15-03-2018
RAMCOCEM,96,19-03-2018
STAR,63,19-03-2018
AXISBANK,376,20-03-2018
CANBK,343,20-03-2018
BEML,356,21-03-2018
HINDALCO,250,23-03-2018
TATASTEEL,41,23-03-2018
BANKBARODA,364,27-03-2018
FORTIS,291,27-03-2018
BEML,356,28-03-2018
FORTIS,291,28-03-2018
CANFINHOME,342,02-04-2018
TATAMOTORS,44,02-04-2018
MOTHERSUMI,151,03-04-2018
NBCC,140,03-04-2018
HINDALCO,250,04-04-2018
KTKBANK,183,04-04-2018
HINDALCO,250,05-04-2018
MOTHERSUMI,151,05-04-2018
HINDALCO,250,06-04-2018
APOLLOHOSP,390,09-04-2018
GODFRYPHLP,277,09-04-2018
HINDALCO,250,10-04-2018
VEDL,16,10-04-2018
HINDALCO,250,11-04-2018
